CustomerID,Gender,Age,Tenure,ServiceType,MonthlyCharges,Contract,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,TotalCharges,Churn
243,Male,26,16,Both,95.95363091461329,One year,No,Electronic check,No,No,No,Yes,1633.049919910458,No
244,Female,28,37,Phone,69.29217499970574,Two year,Yes,Credit card,Yes,No,No,Yes,2660.9580979488364,Yes
245,Female,23,66,Both,40.487769289759754,One year,Yes,Credit card,No,No,Yes,No,2744.747486319747,Yes
246,Female,56,43,Internet,101.00038608371999,Two year,Yes,Bank transfer,Yes,Yes,No,Yes,4427.104395293146,No
247,Female,56,1,Phone,76.78206546639692,One year,No,Bank transfer,No,No,No,No,154.41938007077226,No
248,Male,54,7,Both,33.95051937868297,One year,Yes,Mailed check,No,Yes,No,No,245.3778128241016,No
249,Male,19,68,Phone,100.48940268708661,Month-to-month,No,Credit card,Yes,No,No,Yes,6896.417546163283,No
250,Male,54,32,Internet,115.85859103625782,One year,Yes,Credit card,Yes,No,No,Yes,3748.868893198941,No
251,Female,23,30,Internet,54.61638726284658,Two year,Yes,Bank transfer,No,Yes,No,No,1687.4080068001404,No
252,Female,23,17,Both,49.35122520864435,Month-to-month,Yes,Electronic check,No,No,No,No,861.1174298647379,No
253,Female,56,68,Both,28.177517820756606,Month-to-month,Yes,Credit card,Yes,Yes,Yes,No,1919.0174500324354,No
254,Male,53,27,Phone,86.44912264494155,One year,No,Bank transfer,Yes,No,Yes,No,2424.026484312869,No
255,Female,42,7,Internet,115.89616184964967,Two year,No,Credit card,Yes,No,No,Yes,903.5523944104784,No
256,Female,67,12,Internet,33.59926899916076,Month-to-month,Yes,Mailed check,Yes,Yes,No,No,477.3104282282862,Yes
257,Female,33,56,Both,68.51596313193156,One year,Yes,Mailed check,No,No,No,No,3911.254920721567,No
258,Female,38,44,Internet,29.823818465324784,One year,No,Mailed check,Yes,No,No,Yes,1395.633619695026,No
259,Male,68,68,Internet,23.41099037098158,Month-to-month,Yes,Bank transfer,Yes,Yes,Yes,Yes,1623.1312052237965,Yes
260,Male,27,21,Internet,86.45010506676454,Two year,No,Electronic check,No,Yes,No,Yes,1897.4604938290688,Yes
261,Female,22,15,Phone,106.76871753434979,One year,No,Bank transfer,No,No,No,Yes,1669.1972641706286,No
262,Female,67,15,Phone,53.757053612602974,One year,No,Credit card,No,Yes,No,No,885.114889186497,Yes
263,Male,42,64,Phone,107.57651744100993,One year,Yes,Bank transfer,Yes,No,No,Yes,6970.257542730947,No
264,Male,48,44,Internet,31.70530991510319,Two year,Yes,Mailed check,No,Yes,Yes,No,1484.0604931913,No
265,Male,20,28,Both,43.79606819174762,Two year,No,Credit card,Yes,No,No,Yes,1228.4001119151276,No
266,Female,37,21,Both,110.16067269067184,One year,No,Credit card,No,No,Yes,Yes,2359.555787106681,Yes
267,Female,21,24,Both,70.85098936906702,One year,No,Bank transfer,Yes,No,No,No,1795.3132184949445,No
268,Male,31,35,Phone,80.81923837970241,Two year,No,Bank transfer,Yes,No,Yes,No,2886.363709459695,No
269,Female,29,33,Internet,23.80182325425079,One year,Yes,Credit card,No,Yes,Yes,Yes,857.0577844621957,Yes
270,Female,31,66,Phone,32.83899101478889,One year,Yes,Credit card,Yes,No,Yes,Yes,2200.853512512108,No
271,Female,54,23,Phone,25.579081250085316,Two year,No,Credit card,Yes,No,No,No,597.5951682976415,No
272,Female,35,22,Both,110.50007399496693,Month-to-month,No,Mailed check,No,Yes,Yes,Yes,2488.6698749221887,No
273,Female,44,58,Both,33.4794963870947,Month-to-month,Yes,Mailed check,No,No,Yes,Yes,1984.569537909386,Yes
274,Male,24,69,Internet,104.96728266087545,One year,Yes,Credit card,No,No,Yes,No,7245.251676403305,No
275,Male,65,46,Phone,55.103469937245315,Two year,No,Electronic check,Yes,No,Yes,No,2544.338444834758,No
276,Male,52,40,Internet,100.059749636578,One year,Yes,Bank transfer,No,Yes,Yes,Yes,4048.6857423218808,Yes
277,Female,39,25,Phone,56.50435474567474,One year,No,Electronic check,Yes,Yes,Yes,No,1462.5317722098257,No
278,Male,38,18,Internet,46.76840396928765,One year,No,Mailed check,No,Yes,No,No,891.4993994049464,No
279,Female,60,53,Phone,29.366070118905725,Month-to-month,Yes,Credit card,No,No,Yes,Yes,1585.9124074720148,No
280,Male,35,9,Internet,48.07065905741337,Month-to-month,Yes,Bank transfer,Yes,Yes,Yes,No,489.06091168753176,No
281,Female,55,6,Phone,67.14797167172799,One year,No,Credit card,Yes,No,Yes,Yes,451.757753624157,No
282,Female,43,11,Phone,101.75087988967955,Two year,Yes,Electronic check,Yes,No,No,Yes,1144.0998681146589,No
283,Male,39,63,Both,65.25149547686979,Month-to-month,No,Bank transfer,No,No,No,No,4173.915970196791,No
284,Male,54,30,Phone,117.14355749376175,Two year,Yes,Credit card,No,Yes,Yes,Yes,3590.6739822596046,No
285,Male,22,12,Both,74.16330108548229,Two year,No,Bank transfer,No,Yes,Yes,No,895.9804215746045,No
286,Female,65,31,Internet,22.494562981144345,Two year,No,Mailed check,Yes,Yes,Yes,Yes,715.5813676800674,No
287,Male,52,59,Both,61.53673001912724,One year,Yes,Bank transfer,No,No,Yes,No,3701.7505198392823,No
288,Male,29,43,Phone,88.88991073865137,Month-to-month,Yes,Credit card,No,Yes,Yes,Yes,3862.47388833996,Yes
289,Female,52,26,Both,43.42916462498248,Two year,No,Electronic check,Yes,Yes,Yes,Yes,1187.7093787446388,Yes
290,Female,51,55,Both,89.86299508481586,One year,No,Credit card,No,Yes,Yes,No,4995.09206427285,No
291,Female,64,26,Internet,70.36973051815161,One year,Yes,Mailed check,Yes,No,No,Yes,1846.6019045358885,No
292,Female,37,46,Both,22.57377755831153,One year,Yes,Credit card,No,Yes,Yes,Yes,1099.1117488441553,No
293,Male,66,4,Internet,97.43529494802057,Two year,No,Bank transfer,No,No,No,Yes,401.2334455530929,No
294,Female,29,38,Internet,76.03737038140751,Two year,Yes,Electronic check,Yes,No,No,Yes,2970.1207365662544,No
295,Male,51,34,Both,28.24935030810934,One year,Yes,Bank transfer,No,No,Yes,Yes,1010.5932233860532,Yes
296,Male,43,61,Phone,67.52140334622729,Month-to-month,Yes,Bank transfer,No,No,Yes,Yes,4125.560747820149,No
297,Male,51,8,Internet,48.729288177474665,One year,No,Electronic check,Yes,Yes,Yes,Yes,488.5134760534694,Yes
298,Male,49,61,Both,107.9681542587933,Two year,No,Electronic check,No,Yes,Yes,No,6631.102863476222,No
299,Female,63,38,Internet,48.49270528072488,Month-to-month,Yes,Mailed check,Yes,Yes,No,No,1912.7114000260178,No
300,Female,24,17,Both,114.16870709741988,Month-to-month,No,Mailed check,Yes,Yes,No,No,1955.3768524735694,Yes
301,Female,43,46,Both,74.61327493471126,Month-to-month,Yes,Bank transfer,No,Yes,Yes,No,3446.689421415373,No
302,Male,42,40,Phone,52.36137095467213,One year,No,Credit card,No,Yes,No,Yes,2110.083548172173,No
303,Female,63,34,Both,101.35450174175773,Month-to-month,Yes,Mailed check,Yes,No,No,Yes,3461.3145859317997,No
304,Male,56,66,Internet,89.74003783657659,Month-to-month,Yes,Credit card,No,Yes,Yes,No,5936.667739099729,No
305,Male,69,69,Internet,61.39624956958795,Two year,Yes,Bank transfer,No,Yes,No,Yes,4334.888893258623,No
306,Female,34,25,Phone,82.9618302706593,One year,Yes,Credit card,Yes,No,Yes,No,2109.2583950395015,No
307,Female,41,7,Internet,97.85842640282813,Month-to-month,No,Mailed check,No,No,No,No,704.1894053209764,No
308,Female,44,61,Phone,105.15577942834894,Month-to-month,No,Bank transfer,No,Yes,Yes,No,6456.95718952043,No
309,Female,21,62,Both,101.64127137140636,Two year,No,Credit card,Yes,No,Yes,No,6352.027250396318,No
310,Female,44,60,Both,36.6077088593418,Two year,No,Mailed check,Yes,Yes,No,Yes,2242.524316999411,No
311,Female,64,30,Both,102.83895525035857,Month-to-month,Yes,Mailed check,Yes,Yes,No,No,3130.786580750999,No
312,Male,47,29,Phone,25.862905888377213,Month-to-month,Yes,Bank transfer,Yes,No,Yes,Yes,822.1272922123557,No
313,Male,20,25,Internet,40.01706815505686,Month-to-month,Yes,Credit card,Yes,No,Yes,No,1067.9718924099502,Yes
314,Female,23,4,Internet,82.2926720065989,Month-to-month,Yes,Electronic check,No,No,Yes,No,361.90796924486017,No
315,Female,25,22,Both,31.469252544690434,One year,No,Mailed check,Yes,Yes,Yes,Yes,710.7446465907407,Yes
316,Female,33,7,Internet,80.33475950562001,Month-to-month,No,Bank transfer,Yes,Yes,Yes,Yes,632.2824866297988,No
317,Female,32,22,Phone,50.79656913635638,One year,Yes,Bank transfer,No,Yes,Yes,Yes,1150.2174045189563,Yes
318,Female,53,28,Phone,62.94665851546483,One year,No,Bank transfer,Yes,No,No,No,1860.2479570298572,Yes
319,Female,57,27,Phone,51.515150344547806,Month-to-month,No,Electronic check,No,No,No,Yes,1463.9016983595943,No
320,Female,25,65,Phone,27.017356786490446,Month-to-month,No,Electronic check,No,Yes,No,No,1794.72747580299,No
321,Female,69,4,Internet,70.07587529219609,Two year,No,Mailed check,Yes,Yes,No,Yes,380.28734863610316,No
322,Female,56,54,Phone,116.35994443948874,One year,Yes,Bank transfer,No,No,Yes,No,6296.848414078349,No
323,Female,69,38,Internet,81.17833481601272,One year,Yes,Credit card,No,No,No,No,3117.092007812044,No
324,Male,47,8,Both,50.00318716171253,Month-to-month,Yes,Electronic check,Yes,Yes,No,Yes,452.85745439203066,No
325,Male,67,12,Internet,115.61498341240191,Month-to-month,Yes,Electronic check,Yes,No,No,No,1399.7891563433707,No
326,Male,29,3,Phone,58.92372519522274,Month-to-month,No,Electronic check,Yes,No,Yes,No,236.74338029492887,Yes
327,Male,21,55,Internet,89.75177338688435,Month-to-month,Yes,Electronic check,No,Yes,Yes,Yes,5008.652029001912,No
328,Female,31,6,Both,83.41128049224443,Two year,Yes,Credit card,Yes,Yes,No,No,542.6889341500643,Yes
329,Female,42,18,Both,115.29108480388516,Month-to-month,Yes,Bank transfer,No,No,Yes,No,2139.081949356562,No
330,Female,22,6,Both,111.4602694494837,Two year,Yes,Mailed check,Yes,Yes,No,No,756.1752487609939,No
331,Male,69,31,Internet,34.80040563500312,Month-to-month,No,Credit card,Yes,No,Yes,No,1174.7207352478315,No
332,Female,40,4,Phone,28.568587472942248,Month-to-month,No,Electronic check,Yes,No,No,No,155.9488278943108,No
333,Female,47,1,Phone,100.96423277988296,One year,No,Mailed check,Yes,Yes,No,Yes,173.1271361977707,No
334,Female,56,45,Internet,110.49432132968231,Month-to-month,No,Electronic check,No,No,No,No,5049.223280218854,No
335,Female,29,45,Phone,69.29736039228995,One year,No,Credit card,Yes,No,Yes,No,3189.1171268104063,No
336,Female,32,62,Phone,89.07612738337751,One year,Yes,Electronic check,Yes,No,No,Yes,5576.180871398162,No
337,Female,36,1,Internet,26.97882801784182,Month-to-month,No,Mailed check,No,No,Yes,No,44.15896365238657,No
338,Female,43,18,Both,41.98043978564719,Two year,No,Mailed check,No,No,Yes,Yes,782.5580741499549,No
339,Male,62,30,Phone,34.937619465672114,One year,No,Bank transfer,No,No,Yes,Yes,1107.6087060876253,No
340,Male,21,35,Both,80.11605835500339,Month-to-month,No,Bank transfer,No,No,No,No,2841.1067083909725,Yes
341,Male,55,60,Phone,39.75398937661072,Two year,Yes,Credit card,Yes,No,Yes,Yes,2477.436948340059,No
342,Male,25,22,Both,25.984631555085063,One year,Yes,Bank transfer,Yes,Yes,No,No,588.3014636042229,No
343,Female,47,64,Both,50.22072827360107,One year,No,Bank transfer,No,Yes,Yes,Yes,3243.4068106083773,No
344,Female,32,18,Phone,87.72124291139528,One year,Yes,Mailed check,Yes,No,Yes,No,1587.5711908160688,No
345,Male,29,39,Phone,77.78637242618545,One year,Yes,Mailed check,No,No,No,No,3090.3179880645525,No
346,Female,27,2,Internet,53.07249654946358,Two year,No,Credit card,Yes,Yes,Yes,Yes,131.78042531557287,No
347,Male,29,16,Phone,103.34788758433764,Two year,No,Electronic check,No,No,No,No,1745.222572817159,No
348,Male,34,18,Phone,47.62691080120896,Month-to-month,Yes,Credit card,No,No,No,No,892.6671235048073,No
349,Female,57,54,Internet,46.05476383656826,One year,Yes,Mailed check,Yes,Yes,No,Yes,2513.2518667886993,No
350,Male,19,23,Both,75.99474107895881,One year,Yes,Electronic check,Yes,No,Yes,No,1836.1224707892306,No
351,Female,36,48,Internet,67.82156398457757,One year,No,Bank transfer,Yes,No,No,No,3291.330095842121,No
352,Male,46,67,Both,64.59726606003608,One year,No,Electronic check,No,No,No,No,4345.394313135137,No
353,Female,18,12,Internet,35.57856189540672,One year,Yes,Bank transfer,Yes,Yes,Yes,Yes,520.4448366187413,No
354,Male,39,10,Phone,70.4646191632991,One year,No,Electronic check,Yes,Yes,No,Yes,705.2709058282315,No
355,Male,42,41,Phone,45.901891727544424,Two year,Yes,Credit card,No,Yes,Yes,Yes,1960.169329309052,No
356,Male,27,55,Both,59.21798826190154,One year,No,Bank transfer,No,No,No,Yes,3355.9906771007477,No
357,Male,26,52,Phone,93.35704476706063,Two year,No,Mailed check,Yes,Yes,No,No,4871.025667460486,No
358,Female,36,48,Both,113.68628255593556,Month-to-month,Yes,Bank transfer,Yes,No,No,No,5487.457786368075,Yes
359,Female,29,5,Internet,97.38629651893243,Two year,Yes,Bank transfer,Yes,Yes,No,Yes,543.9156636623,No
360,Female,46,11,Phone,60.56338946232637,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,No,697.8034353230132,Yes
361,Male,69,7,Both,79.30331393287639,Month-to-month,Yes,Credit card,Yes,No,Yes,No,609.4409391958746,Yes
362,Female,35,45,Internet,94.6497815875704,Two year,Yes,Credit card,Yes,Yes,Yes,No,4349.6103108334155,No
363,Male,33,9,Phone,61.42210500958915,Two year,Yes,Mailed check,No,No,No,Yes,580.7773281794762,No
364,Female,21,19,Phone,56.02481588123011,One year,Yes,Electronic check,Yes,No,Yes,No,1142.193542020842,Yes
365,Male,60,3,Both,33.52432959558632,One year,No,Mailed check,No,No,No,No,157.48939152879365,Yes
366,Male,42,70,Phone,93.62608014758756,Month-to-month,No,Mailed check,No,No,Yes,Yes,6648.22576384984,No
367,Male,39,30,Both,103.85085908076249,Month-to-month,No,Bank transfer,Yes,Yes,No,Yes,3154.768170110096,No
368,Male,46,28,Phone,51.65844110299528,Two year,Yes,Bank transfer,No,Yes,Yes,No,1542.6017504600563,No
369,Female,39,18,Internet,98.35077656425354,Month-to-month,Yes,Credit card,Yes,No,No,No,1866.623700451703,No
370,Female,32,59,Phone,81.02130583369875,One year,Yes,Bank transfer,No,No,No,No,4860.2063791659775,No
371,Female,65,12,Both,98.4083046403244,Two year,No,Electronic check,No,Yes,Yes,No,1190.5878271888043,No
372,Male,19,50,Both,61.133738314966436,One year,No,Electronic check,Yes,No,Yes,No,3080.4078417603905,No
373,Female,30,4,Both,94.75763636496066,Two year,Yes,Mailed check,Yes,No,Yes,No,385.0590003231401,No
374,Male,29,12,Internet,60.8509117897626,Month-to-month,Yes,Electronic check,Yes,No,Yes,No,749.5408229918746,No
375,Male,43,58,Phone,28.87579854194529,Month-to-month,Yes,Credit card,Yes,No,No,Yes,1712.8506240414674,No
376,Female,57,51,Phone,75.05789181349441,One year,Yes,Credit card,No,Yes,No,Yes,3888.5955980755134,No
377,Female,29,16,Phone,65.43287263886457,Month-to-month,No,Bank transfer,Yes,Yes,Yes,Yes,1085.475976782496,Yes
378,Female,44,58,Both,45.28798872015771,Two year,No,Electronic check,No,No,No,Yes,2667.9444433290505,Yes
379,Male,63,4,Both,109.21133349667691,One year,Yes,Electronic check,Yes,Yes,No,Yes,476.8477277334373,No
380,Female,52,61,Phone,58.28533055360012,One year,No,Credit card,Yes,No,Yes,No,3562.207057425281,No
381,Female,19,40,Both,23.91261114322814,Month-to-month,No,Mailed check,Yes,Yes,Yes,No,1044.0187834123635,Yes
382,Male,34,30,Phone,58.21357402025903,Month-to-month,Yes,Bank transfer,Yes,Yes,Yes,No,1812.3530932800768,Yes
383,Female,19,54,Phone,62.45098079003697,Two year,No,Electronic check,No,No,No,Yes,3405.9423588990308,Yes
384,Male,34,68,Both,106.16377231941598,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,Yes,7279.127211761132,Yes
385,Female,51,57,Phone,99.91832081050435,One year,No,Mailed check,No,Yes,Yes,No,5747.99173215482,No
386,Female,51,46,Both,39.99665859079243,Two year,No,Mailed check,No,Yes,No,No,1877.7849961255506,No
387,Male,62,12,Phone,103.90292259588709,One year,Yes,Mailed check,No,Yes,No,No,1260.6821957313016,Yes
388,Male,56,6,Both,44.792722825366525,One year,Yes,Bank transfer,Yes,No,No,No,346.0272860020759,Yes
389,Female,58,31,Both,54.1934148164293,One year,No,Mailed check,No,Yes,No,No,1687.479580869216,No
390,Female,26,59,Both,27.681845397749132,Month-to-month,No,Electronic check,No,No,Yes,No,1652.6482117917449,No
391,Male,31,69,Phone,25.535631313436383,Two year,No,Electronic check,No,Yes,No,No,1768.4264481169228,Yes
392,Female,60,60,Phone,88.08601208111375,Two year,No,Bank transfer,Yes,No,Yes,No,5313.523290355879,No
393,Female,37,33,Internet,112.3341084521733,Month-to-month,No,Mailed check,Yes,Yes,No,Yes,3782.619697187921,Yes
394,Female,68,38,Phone,69.30168542378287,Month-to-month,Yes,Bank transfer,Yes,No,Yes,No,2728.227728309368,No
395,Female,50,44,Phone,104.40937119585831,Month-to-month,No,Bank transfer,Yes,Yes,Yes,Yes,4683.522795631157,Yes
396,Female,41,61,Phone,99.37512496926533,Month-to-month,Yes,Credit card,No,Yes,Yes,Yes,6115.494884687994,No
397,Female,22,46,Internet,86.46787233813292,One year,Yes,Bank transfer,No,Yes,Yes,No,4027.6020786209083,Yes
398,Male,49,30,Internet,117.82289311177786,One year,No,Bank transfer,No,No,No,No,3633.382461836495,No
399,Male,40,28,Phone,100.2187920876386,Month-to-month,No,Mailed check,Yes,No,Yes,No,2856.5611358175183,No
400,Female,18,28,Phone,47.484439421426146,One year,Yes,Bank transfer,Yes,No,No,No,1404.801937406603,No
401,Male,55,30,Both,98.9014246221108,One year,Yes,Credit card,Yes,No,Yes,Yes,3061.9819539659097,No
402,Female,49,39,Phone,89.26616462839036,Month-to-month,No,Bank transfer,Yes,No,Yes,Yes,3482.025191691382,No
403,Male,33,12,Both,59.952044663635164,One year,Yes,Bank transfer,Yes,No,Yes,Yes,726.6047515124849,Yes
404,Male,37,33,Phone,27.679747022711503,Month-to-month,No,Electronic check,No,Yes,Yes,Yes,965.8834992254659,No
405,Female,33,51,Both,41.43595296180997,Two year,Yes,Credit card,Yes,Yes,Yes,No,2113.659771012659,Yes
406,Female,69,41,Internet,99.7237891643355,Two year,No,Mailed check,Yes,No,No,Yes,4153.938944953993,No
407,Female,30,71,Internet,44.848528813604915,Month-to-month,No,Credit card,No,Yes,No,No,3272.7887640491836,No
408,Female,63,31,Phone,119.78579830233481,One year,Yes,Bank transfer,No,Yes,No,No,3805.4772961264707,No
409,Female,28,23,Internet,89.39881399885446,Month-to-month,No,Electronic check,Yes,No,No,No,2057.4779767354444,No
410,Male,59,36,Internet,67.72224807176079,Two year,No,Mailed check,Yes,No,Yes,Yes,2526.1246147506317,No
411,Female,34,69,Both,77.04366902119271,Two year,Yes,Bank transfer,No,No,Yes,No,5384.085656175365,Yes
412,Female,24,64,Internet,81.08727235414362,Month-to-month,No,Credit card,Yes,Yes,Yes,No,5263.814375252056,No
413,Female,39,5,Phone,116.89448200326233,Month-to-month,Yes,Mailed check,Yes,Yes,No,No,639.7720403681043,No
414,Male,48,50,Phone,36.174119463151946,Month-to-month,No,Mailed check,No,No,Yes,No,1829.1169371451804,Yes
415,Male,21,30,Internet,47.23958026607546,One year,No,Mailed check,No,Yes,No,No,1486.0329578840624,No
416,Female,34,64,Phone,90.95910479712437,Month-to-month,No,Bank transfer,No,No,Yes,Yes,5855.051868071284,No
417,Female,18,62,Internet,43.98579831435656,Month-to-month,No,Bank transfer,No,No,No,Yes,2785.922131278103,No
418,Male,19,27,Phone,107.12971622020503,One year,No,Mailed check,No,No,Yes,Yes,2927.3388440502563,No
419,Female,68,51,Both,54.653417565811864,One year,Yes,Electronic check,No,No,No,No,2841.6322211576107,Yes
420,Female,50,18,Internet,38.083939991581914,Two year,No,Mailed check,Yes,Yes,Yes,Yes,697.7787107363866,No
421,Female,61,57,Phone,24.76207608498185,Two year,Yes,Bank transfer,Yes,No,Yes,No,1417.812448579535,No
422,Male,36,36,Both,79.559504031795,Month-to-month,Yes,Bank transfer,No,No,No,No,2869.555430338019,No
423,Male,36,48,Internet,102.52821895545517,Two year,Yes,Bank transfer,No,Yes,Yes,Yes,5019.3619884498885,No
424,Male,40,49,Phone,47.37931111487912,Two year,Yes,Bank transfer,Yes,Yes,No,Yes,2394.8346815097807,Yes
425,Female,33,68,Internet,111.75394862588203,One year,Yes,Mailed check,No,Yes,No,Yes,7690.859227956025,Yes
426,Male,33,63,Both,95.77342701180048,One year,No,Electronic check,Yes,Yes,No,No,6065.133383651824,No
427,Male,46,38,Internet,26.130068249878473,One year,No,Credit card,No,Yes,Yes,No,1048.7223004840355,No
428,Male,25,6,Both,77.263299667475,Two year,Yes,Mailed check,No,Yes,Yes,Yes,516.5619073715903,No
429,Male,45,56,Both,76.74409403252656,One year,Yes,Credit card,No,No,No,No,4306.0773609606,No
430,Male,42,47,Phone,40.23723049359802,Two year,No,Bank transfer,Yes,Yes,No,No,1910.1443357646194,Yes
431,Male,42,39,Both,53.45443786657215,One year,No,Credit card,No,Yes,No,No,2145.822293483785,No
432,Female,30,50,Both,65.82788935837623,Two year,No,Credit card,Yes,Yes,No,Yes,3352.72890508021,No
433,Female,31,9,Phone,24.807782123741845,One year,Yes,Mailed check,Yes,Yes,No,No,258.5602065532321,No
434,Female,36,66,Both,34.977640928588784,Two year,No,Electronic check,No,No,No,Yes,2407.5023181826014,No
435,Male,32,67,Phone,36.40043891105587,Two year,Yes,Electronic check,Yes,Yes,No,Yes,2496.2132278173635,No
436,Male,32,63,Phone,57.92357544563909,One year,Yes,Mailed check,No,Yes,Yes,No,3715.071149569093,No
437,Female,38,17,Both,94.73574586765804,One year,No,Electronic check,No,Yes,No,Yes,1693.6979559521112,No
438,Female,25,62,Internet,103.1303659097259,One year,No,Mailed check,Yes,No,Yes,No,6436.445727596449,Yes
439,Female,62,67,Both,36.284904601703886,Month-to-month,Yes,Mailed check,No,Yes,No,No,2456.2612961944674,No
440,Male,61,12,Internet,95.19060360067698,Month-to-month,No,Electronic check,No,No,Yes,No,1186.8133507254427,No
441,Female,45,32,Both,87.07099583881694,One year,Yes,Bank transfer,Yes,No,No,No,2830.4984942588508,No
442,Male,62,11,Phone,109.06873919138783,One year,No,Mailed check,Yes,Yes,Yes,Yes,1252.8600159009857,No
443,Female,33,21,Both,116.87912539451719,Month-to-month,No,Electronic check,Yes,Yes,No,Yes,2501.1935987488696,No
444,Male,41,15,Phone,32.446060880994104,One year,No,Credit card,Yes,No,No,Yes,558.471178058467,Yes
445,Female,29,53,Internet,28.067386142081666,One year,No,Credit card,No,Yes,Yes,No,1551.1708014058688,No
446,Female,31,30,Both,99.97301289520094,Month-to-month,No,Mailed check,No,Yes,Yes,Yes,3012.960691857745,No
447,Female,47,6,Internet,36.217087308585846,Two year,No,Electronic check,Yes,Yes,Yes,No,239.39320933819388,No
448,Male,49,15,Both,39.45745242572069,Month-to-month,No,Electronic check,Yes,Yes,Yes,Yes,664.884717995344,No
449,Female,64,52,Phone,108.20359225258268,One year,Yes,Mailed check,Yes,Yes,No,No,5669.925526068576,Yes
450,Male,36,33,Phone,113.8964897102525,One year,No,Credit card,No,No,No,Yes,3810.387919468,No
451,Male,22,24,Both,51.8471243922974,Two year,Yes,Mailed check,Yes,No,No,No,1258.6933704284972,Yes
452,Female,46,7,Internet,104.2168100437994,One year,No,Mailed check,Yes,No,Yes,Yes,743.6319866218929,Yes
453,Male,19,66,Both,105.8856909563651,One year,No,Credit card,No,Yes,No,No,7012.846624761195,No
454,Female,67,71,Both,80.53904805020363,Month-to-month,Yes,Credit card,No,Yes,No,Yes,5816.65568442494,No
455,Male,67,41,Both,76.6088448063145,Month-to-month,Yes,Bank transfer,No,No,No,No,3212.646144536327,Yes
456,Male,41,61,Internet,77.58384092456097,One year,No,Bank transfer,No,Yes,Yes,No,4759.954700078318,Yes
457,Female,34,37,Both,50.128918764272285,One year,Yes,Credit card,Yes,Yes,Yes,Yes,1919.241297498654,No
458,Male,59,13,Phone,81.88670389389907,One year,Yes,Credit card,No,No,Yes,No,1133.3427819007816,No
459,Male,44,36,Both,44.35802711085701,One year,Yes,Mailed check,Yes,Yes,No,Yes,1686.3140844088541,No
460,Male,66,63,Both,37.76322900756088,Two year,Yes,Credit card,Yes,No,No,Yes,2423.239615248869,No
461,Male,20,70,Phone,61.295045442400635,Month-to-month,No,Electronic check,Yes,Yes,No,No,4316.826591755605,Yes
462,Male,65,63,Both,90.57804229844352,Month-to-month,No,Mailed check,Yes,No,Yes,No,5735.817545567171,No
463,Male,35,59,Internet,82.14276873514643,One year,No,Electronic check,Yes,Yes,No,Yes,4865.265261403608,No
464,Male,38,19,Both,116.48820793397024,One year,No,Credit card,Yes,Yes,Yes,Yes,2304.5632794945245,Yes
465,Male,56,1,Internet,84.64559113657225,One year,No,Electronic check,Yes,Yes,No,No,149.62819860147,No
466,Male,18,2,Both,34.13140497959205,Month-to-month,Yes,Credit card,Yes,Yes,Yes,Yes,155.60394935535598,No
467,Female,24,22,Both,36.1218213292518,One year,Yes,Mailed check,No,No,Yes,Yes,884.1718114069565,Yes
468,Male,62,14,Both,29.306714007783214,One year,No,Mailed check,No,Yes,Yes,Yes,477.4016644527599,No
469,Female,40,68,Internet,39.1173764997013,Two year,No,Credit card,Yes,Yes,Yes,No,2743.184037420788,No
470,Female,33,18,Phone,79.7950900679121,Month-to-month,No,Mailed check,Yes,Yes,No,No,1451.651170583165,No
471,Male,28,6,Both,103.82864750148154,Two year,Yes,Mailed check,Yes,Yes,Yes,Yes,676.2349745076358,No
472,Female,52,27,Both,109.38676520674574,One year,No,Bank transfer,Yes,No,No,No,3010.121184100473,Yes
473,Female,58,64,Both,60.00438866850485,Two year,Yes,Credit card,Yes,Yes,Yes,Yes,3847.3960590752763,No
474,Female,56,28,Phone,75.85830285872318,Two year,Yes,Mailed check,No,No,No,Yes,2157.899053575956,No
475,Male,39,42,Both,100.91995921508133,Month-to-month,Yes,Mailed check,Yes,No,No,No,4333.341457632811,No
476,Male,52,14,Internet,51.20705211951691,Two year,Yes,Electronic check,No,Yes,Yes,Yes,757.4908745139522,No
477,Female,50,46,Phone,79.56690044386951,One year,Yes,Credit card,No,No,No,Yes,3676.8453125996216,Yes
478,Female,60,49,Internet,37.40825110536657,One year,No,Bank transfer,No,No,Yes,No,1845.446086672002,No
479,Female,62,57,Internet,67.65403405180948,One year,Yes,Credit card,Yes,Yes,Yes,Yes,3869.9573672671568,No
480,Female,53,59,Phone,37.30722603634683,One year,No,Electronic check,Yes,Yes,No,Yes,2271.6082913279747,No
481,Male,59,18,Phone,66.24263902991456,Month-to-month,Yes,Electronic check,Yes,No,No,Yes,1207.267227411287,No
482,Female,57,8,Both,59.68196917675796,One year,No,Electronic check,No,No,No,Yes,564.0616087467919,No
483,Male,45,27,Phone,63.32648235004933,Month-to-month,Yes,Mailed check,No,No,Yes,No,1762.9541243451974,No
484,Female,66,18,Internet,44.3712226106518,Month-to-month,Yes,Bank transfer,No,Yes,No,Yes,852.3907511519783,No
485,Male,28,69,Both,33.60433423785061,Month-to-month,Yes,Electronic check,Yes,Yes,Yes,No,2348.893915278032,No
